k a_k b_k p_k fp
1.000000 -2.000000 2.000000 0.000000 -1.373401
2.000000 -2.000000 0.000000 -1.000000 14.441257
3.000000 -1.000000 0.000000 -0.500000 1.863603
4.000000 -0.500000 0.000000 -0.250000 -0.359360
5.000000 -0.500000 -0.250000 -0.375000 0.548981
6.000000 -0.375000 -0.250000 -0.312500 0.051504
7.000000 -0.312500 -0.250000 -0.281250 -0.163911
8.000000 -0.312500 -0.281250 -0.296875 -0.058801
9.000000 -0.312500 -0.296875 -0.304688 -0.004311
10.000000 -0.312500 -0.304688 -0.308594 0.023430
11.000000 -0.308594 -0.304688 -0.306641 0.009518
12.000000 -0.306641 -0.304688 -0.305664 0.002593
13.000000 -0.305664 -0.304688 -0.305176 -0.000861
14.000000 -0.305664 -0.305176 -0.305420 0.000865
15.000000 -0.305420 -0.305176 -0.305298 0.000002
