i,a_i,b_i,p_i,fp
1,-3,3,-38.3481,1444.1,
2,-38.3481,3,3.18705,4.7797,
3,3.18705,3,3.70573,-5.4654,
4,3.18705,3.70573,3.42903,0.697626,
5,3.42903,3.70573,3.46035,0.0487662,
6,3.46035,3.70573,3.46252,0.00304117,
7,3.46252,3.70573,3.46266,0.000189698,
8,3.46266,3.70573,3.46267,1.35329e-05,
9,3.46267,3.70573,3.46267,3.55151e-06,
10,3.46267,3.70573,3.46267,-1.4988e-06,
11,3.46267,3.46267,3.46267,-1.4988e-06,
12,3.46267,3.46267,3.46267,-1.4988e-06,
13,3.46267,3.46267,3.46267,-1.4988e-06,
14,3.46267,3.46267,3.46267,-1.4988e-06,
15,3.46267,3.46267,3.46267,-1.4988e-06,
16,3.46267,3.46267,3.46267,-1.4988e-06,
17,3.46267,3.46267,3.46267,-1.4988e-06,
18,3.46267,3.46267,3.46267,-1.4988e-06,
19,3.46267,3.46267,3.46267,-1.4988e-06,
20,3.46267,3.46267,3.46267,-1.4988e-06,
21,3.46267,3.46267,3.46267,-1.4988e-06,
22,3.46267,3.46267,3.46267,-1.4988e-06,
23,3.46267,3.46267,3.46267,-1.4988e-06,
24,3.46267,3.46267,3.46267,-1.4988e-06,
25,3.46267,3.46267,3.46267,-1.4988e-06,
26,3.46267,3.46267,3.46267,-1.4988e-06,
27,3.46267,3.46267,3.46267,-1.4988e-06,
28,3.46267,3.46267,3.46267,-1.4988e-06,
29,3.46267,3.46267,3.46267,-1.4988e-06,
30,3.46267,3.46267,3.46267,-1.4988e-06,
31,3.46267,3.46267,3.46267,-1.4988e-06,
