i,x(i-1),x(i),|x(i)-x(i-1)|,f(xi)
1,1,-0.620907,1.62091,1.62091,
2,-0.620907,-0.368705,0.252201,-0.298673,
3,-0.368705,-0.823926,0.455221,-0.669701,
4,-0.823926,-0.985953,0.162027,-0.175796,
5,-0.985953,-0.658945,0.327008,-0.348446,
6,-0.658945,0.249457,0.908402,-0.256213,
7,0.249457,-1.08416,1.33362,-0.803568,
8,-1.08416,-5.76143,4.67727,-0.625283,
9,-5.76143,-1.05639,4.70505,-105.913,
10,-1.05639,-1.03265,0.0237373,-0.531656,
11,-1.03265,-0.876514,0.156134,-0.461494,
12,-0.876514,-0.758464,0.11805,-0.198696,
13,-0.758464,0.674279,1.43274,-0.183571,
14,0.674279,-0.285082,0.959361,0.372026,
15,-0.285082,0.366923,0.652005,-0.789195,
16,0.366923,2.10147,1.73455,-0.573587,
17,2.10147,0.829939,1.27153,1.57518,
18,0.829939,-1.18807,2.01801,0.966315,
19,-1.18807,-0.115812,1.07226,-1.09557,
20,-0.115812,7.57966,7.69547,-0.961585,
21,7.57966,-0.100464,7.68012,481.15,
22,-0.100464,-0.0849978,0.0154661,-0.970888,
23,-0.0849978,-1.94725,1.86225,-0.979018,
24,-1.94725,0.0723571,2.01961,-12.5654,
25,0.0723571,0.243942,0.171585,-0.983956,
26,0.243942,1.0556,0.811657,-0.812247,
27,1.0556,0.494086,0.561513,1.8233,
28,0.494086,0.558101,0.0640147,-0.234609,
29,0.558101,0.568773,0.0106722,-0.0335239,
30,0.568773,0.568254,0.000518799,0.00171292,
